pair,open_time,close_time,side,alpha,beta,half_life_minutes,qty_y,qty_x,entry_price_y,entry_price_x,exit_price_y,exit_price_x,u_entry,u_exit,spread_change,entry_z,exit_z,z_change,pnl,fees,reason
TMO-DHR,2022-11-07 16:03:00+00:00,2022-11-07 17:46:00+00:00,-1,-43.7301246604371,0.5897932005188037,266.15926875395564,-233.35294235951946,137.6299787247009,248.34,495.66,247.16,490.72,-0.26677310871315285,1.4668053018497176,1.7335784105628704,1.7048474342946274,3.014657133159772,1.3098096988651444,-410.7962877354558,6.260664819668203,adverse
TMO-DHR,2022-11-07 18:01:00+00:00,2022-11-07 18:02:00+00:00,-1,-43.7301246604371,0.5897932005188037,266.15926875395564,-110.87795790939133,65.39506566236912,247.7,491.12,247.79,490.97,1.7708880216422074,1.9493570017200454,0.17846898007783807,2.9650437922459836,3.1078068454673495,0.14276305322136595,-22.767349290130547,2.979073228931072,adverse
TMO-DHR,2022-11-07 18:03:00+00:00,2022-11-07 18:09:00+00:00,-1,-43.7301246604371,0.5897932005188037,266.15926875395564,-110.82737048669063,65.36522954442847,247.74,491.2,247.95,491.15,1.7637045656007615,2.003194225626686,0.23948966002592442,2.91669734800472,3.0184563063016916,0.10175895829697179,-29.52119822957098,2.979188950146049,adverse
MAR-HLT,2022-11-07 15:00:00+00:00,2022-11-08 14:30:00+00:00,1,23.086381134654307,0.6961505803645069,259.16021980670257,488.36289915554863,-339.97411567562835,126.76,146.05,130.07,149.74,2.0008266031094593,2.74203096156441,0.7412043584549508,-1.6832856842339512,-0.25625133809556644,1.4270343461383848,356.2552550430709,5.721454318721539,mean_revert
TMO-DHR,2022-11-07 18:10:00+00:00,2022-11-08 14:57:00+00:00,-1,-43.7301246604371,0.5897932005188037,266.15926875395564,-110.67442841235531,65.27502534891227,247.99,491.51,250.41,489.45,1.8308686734399373,5.4658426665086495,3.634973993068712,2.8464517567606,3.02316400875788,0.17671225199728013,-405.281811215446,2.98314223878815,adverse
MAR-HLT,2022-11-08 18:46:00+00:00,2022-11-08 19:29:00+00:00,-1,23.086381134654307,0.6961505803645069,259.16021980670257,-224.39304870270934,156.21135108415217,131.37,150.7,129.42,148.88,3.373726404414512,2.6907204606778947,-0.6830059437366174,1.684523349701855,0.24246730366802957,-1.4420560460338254,150.64690128150548,2.61488471562566,mean_revert
UPS-FDX,2022-11-07 19:37:00+00:00,2022-11-09 14:32:00+00:00,1,-105.91782680500532,1.5737583277838052,550.8875965246942,211.67298336604554,-333.12212033915705,159.25,169.18,158.26,167.63,-1.08060708945888,0.3687183186060281,1.449325408064908,-1.6543268627759278,-0.3900496764079945,1.2642771863679334,302.316001624312,4.467031368998163,mean_revert
TMO-DHR,2022-11-08 15:00:00+00:00,2022-11-09 16:21:00+00:00,-1,-43.7301246604371,0.5897932005188037,266.15926875395564,-125.29133706618654,73.89597868554638,251.02,490.52,251.22,493.0,5.444763941953511,4.182076804666906,-1.2626871372866049,2.9500164137238776,0.3083287409554123,-2.641687672768465,154.80843936743338,3.395320359487087,mean_revert
TMO-DHR,2022-11-10 14:34:00+00:00,2022-11-10 14:35:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,226.0250571862348,-133.30804187531504,259.41,510.04,260.41,512.88,2.322000667826444,1.6469879783531383,-0.6750126894733057,-2.9459168935743327,-3.7703599373095598,-0.824443043735227,-158.93129242260056,6.361510682943949,adverse
TMO-DHR,2022-11-10 14:42:00+00:00,2022-11-10 14:43:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,165.97915978610195,-97.89337986966699,260.18,511.33,260.97,513.01,2.331167439157241,2.1303148622856725,-0.20085257687156854,-2.7938192757022344,-3.023701538910167,-0.2298822632079327,-38.01413515683312,4.676793206815844,adverse
