pair,open_time,close_time,side,alpha,beta,half_life_minutes,qty_y,qty_x,entry_price_y,entry_price_x,exit_price_y,exit_price_x,u_entry,u_exit,spread_change,entry_z,exit_z,z_change,pnl,fees,reason
XOM-CVX,2025-03-05 14:32:00+00:00,2025-03-06 17:10:00+00:00,-1,-30.342688453543815,1.6925992044709663,542.9159617956149,-66.44518272425249,112.46506341999776,150.5,105.38,150.89,106.04,2.4765842863933756,1.7494688114425117,-0.7271154749508639,2.9332877885231694,0.43264862195637943,-2.50063916656679,48.313320594742166,0.0,mean_revert
XOM-CVX,2025-03-10 13:30:00+00:00,2025-03-10 15:12:00+00:00,-1,8.941390478327111,1.3400105138898235,379.85879826567,-63.23510813203491,84.73570974388666,158.14,109.89,159.93,112.36,1.9448541503201682,0.42502818101232265,-1.5198259693078455,2.9448635663067484,0.4502574792361465,-2.494606087070602,96.10635951105617,0.0,mean_revert
XOM-CVX,2025-03-10 18:56:00+00:00,2025-03-11 13:30:00+00:00,1,8.941390478327111,1.3400105138898235,379.85879826567,63.967248768630455,-85.71678589457068,156.33,110.96,158.74,111.85,-1.2989570995419228,-0.08156645690385744,1.2173906426380654,-2.003500330636446,-0.3058206891065914,1.6976796415298547,77.87313008623123,0.0,mean_revert
XOM-CVX,2025-03-11 14:55:00+00:00,2025-03-11 18:40:00+00:00,1,8.941390478327111,1.3400105138898235,379.85879826567,64.88450558006748,-86.94591966583334,154.12,109.36,155.03,109.21,-1.364940277318226,-0.25393870023472687,1.1110015770834991,-2.047865167596517,-0.47418776916829586,1.573677398428221,72.08678802773669,0.0,mean_revert
XOM-CVX,2025-03-12 13:31:00+00:00,2025-03-13 15:56:00+00:00,1,8.941390478327111,1.3400105138898235,379.85879826567,65.01527859046875,-87.12115687470407,153.81,109.28,153.4,108.69,-1.5677394362070345,-1.1871332330120197,0.3806062031950148,-2.0746951506253795,-0.4738503416379805,1.600844808987399,24.745218333983733,0.0,mean_revert
XOM-CVX,2025-03-17 14:00:00+00:00,2025-03-18 13:55:00+00:00,1,6.461135677854486,1.3608578805912148,379.2836849331679,63.17917614354309,-85.97787974420109,158.28,113.57,159.49,113.895,-2.7337651765987516,-1.966043987790897,0.7677211888078546,-2.230325880809069,-0.46525231983491855,1.7650735609741504,48.50399221682204,0.0,mean_revert
XOM-CVX,2025-03-19 13:32:00+00:00,2025-03-20 19:42:00+00:00,-1,6.461135677854486,1.3608578805912148,379.2836849331679,-61.85439475474733,84.17504055119781,161.67,114.04,164.74,116.045,0.016631619523366226,0.3581115689379999,0.34147994941463367,2.088060880448192,1.0280942519255176,-1.0599666285226745,-21.12203559192443,0.0,time_stop
XOM-CVX,2025-03-31 13:57:00+00:00,2025-04-01 14:36:00+00:00,1,2.8888538966597253,1.3905416188010755,331.61282530523056,59.75857535556352,-83.09678611217136,167.34,119.09,166.665,118.12,-1.1484552796798084,-0.4746299094427684,0.67382537023704,-2.162797383462512,-0.47803274863381057,1.6847646348287013,40.266844163800066,0.0,mean_revert
XOM-CVX,2025-04-02 18:23:00+00:00,2025-04-03 13:30:00+00:00,1,2.8888538966597253,1.3905416188010755,331.61282530523056,60.15399422521655,-83.64663250728317,166.24,118.34,161.06,115.45,-1.2055490655789924,-2.366883787243893,-1.1613347216649004,-2.022030644611429,-4.421662615982022,-2.399631971370593,-69.85892214057372,0.0,adverse
XOM-CVX,2025-04-03 15:28:00+00:00,2025-04-07 13:30:00+00:00,1,2.8888538966597253,1.3905416188010755,331.61282530523056,63.16720358789716,-87.83662553225163,158.31,113.96,138.45,99.99,-3.044976775230282,-3.479110360579284,-0.43413358534900226,-2.987382549589213,,,-27.42300457008332,0.0,descreen
XOM-CVX,2025-06-02 14:41:00+00:00,2025-06-02 15:19:00+00:00,-1,40.23756628711379,0.9305654152762426,750.0976608469077,-72.18652999350321,67.17428826075526,138.53,103.25,137.51,102.99,2.2115545856141523,1.4335015935859587,-0.7780529920281936,2.004221675145593,0.3840192341899349,-1.6202024409556581,56.164945645577305,0.0,mean_revert
XOM-CVX,2025-06-03 13:51:00+00:00,2025-06-03 14:27:00+00:00,-1,40.23756628711379,0.9305654152762426,750.0976608469077,-72.17610970768675,67.16459150315717,138.55,103.485,139.48,103.72,2.0128717130242535,2.724188840434323,0.7113171274100694,2.028611723056009,4.069894833938689,2.0412831108826803,-51.34010302490522,0.0,adverse
XOM-CVX,2025-06-03 16:09:00+00:00,2025-06-04 15:21:00+00:00,-1,40.23756628711379,0.9305654152762426,750.0976608469077,-71.35212272565109,66.39781771503692,140.15,104.33,138.15,103.04,2.826543937115815,2.0269733228221583,-0.799570614293657,2.9168657282127315,0.3216429652197712,-2.59522276299296,57.05106059890507,0.0,mean_revert
XOM-CVX,2025-06-10 13:33:00+00:00,2025-06-12 13:31:00+00:00,-1,78.86653326671205,0.5585527703597934,451.6475884067482,-70.09182028457279,39.1499803995089,142.67,106.11,143.77,108.25,4.5354322704102685,4.440129341840333,-0.09530292856993583,2.1376724308298227,0.47074260042907307,-1.6669298304007496,6.679955741917411,0.0,mean_revert
